馬券種類,馬1,馬2,馬3,確率,確率順位,key,３連単オッズ,オッズ順位,期待値,期待値順位
三連単,14,4,8,0.0269%,1012,14-4-8,17372.3,1448,4.666040715,637
三連単,15,6,4,0.0073%,2800,15-6-4,63615.3,561,4.664747816,638
三連単,14,8,15,0.0165%,1757,14-8-15,28341.4,1116,4.663597472,639
三連単,7,8,15,0.0223%,1318,7-8-15,20904.3,1309,4.654330072,640
三連単,15,11,17,0.0119%,2195,15-11-17,39126.2,881,4.645628477,641
三連単,5,11,12,0.0105%,2372,5-11-12,44212.6,790,4.641470787,642
三連単,15,13,6,0.0240%,1193,15-13-6,19306.8,1382,4.629493603,643
三連単,4,8,13,0.0555%,262,4-8-13,8318.4,1979,4.618863249,644
三連単,10,15,17,0.0032%,3543,10-15-17,142621.4,189,4.618496293,645
三連単,10,17,12,0.0020%,3795,10-17-12,232698,46,4.615597748,646
三連単,14,8,17,0.0087%,2622,14-8-17,53268.2,663,4.615532388,647
三連単,4,5,8,0.0520%,303,4-5-8,8869.1,1923,4.608123841,648
三連単,14,12,11,0.0083%,2670,14-12-11,55265.7,638,4.599122755,649
三連単,10,12,11,0.0032%,3554,10-12-11,144959.4,186,4.597519464,650
三連単,11,5,8,0.0196%,1473,11-5-8,23331.2,1240,4.575850855,651
三連単,1,12,17,0.0098%,2441,1-12-17,46785.8,753,4.575433255,652
三連単,17,14,8,0.0060%,3055,17-14-8,76228.6,474,4.57132827,653
三連単,17,14,10,0.0044%,3318,17-14-10,102820,324,4.550465433,654
三連単,1,12,14,0.0230%,1269,1-12-14,19781.9,1353,4.545502575,655
三連単,12,13,1,0.0409%,527,12-13-1,11108.7,1770,4.53867415,656
三連単,7,3,12,0.0240%,1190,7-3-12,18894.2,1393,4.537932214,657
三連単,7,12,15,0.0127%,2123,7-12-15,35655.3,942,4.535372934,658
三連単,4,14,7,0.0668%,145,4-14-7,6781,2116,4.52677699,659
三連単,1,12,5,0.0280%,964,1-12-5,16165.4,1481,4.520208034,660
三連単,17,9,8,0.0093%,2512,17-9-8,48319.8,723,4.50822298,661
三連単,10,7,14,0.0089%,2595,10-7-14,50819.1,696,4.497986544,662
三連単,14,12,13,0.0148%,1901,14-12-13,30386.6,1059,4.492690732,663
三連単,10,15,2,0.0052%,3193,10-15-2,86691.4,409,4.473862028,664
三連単,13,8,12,0.0190%,1537,13-8-12,23580,1231,4.473048853,665
三連単,9,12,15,0.0130%,2094,9-12-15,34273.3,969,4.47196562,666
三連単,10,15,6,0.0027%,3642,10-15-6,163750.5,147,4.470589517,667
三連単,8,17,4,0.0044%,3315,8-17-4,100483.2,339,4.470551623,668
